Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,Size
05-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,119,0,66,10,0,15,8249
07-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,141,0,74,22,0,8,8249
08-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,147,0,75,6,0,1,8249
09-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,149,0,77,2,0,2,8249
10-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,151,0,83,2,0,6,8249
11-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,156,0,92,5,0,9,8249
12-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,163,0,93,7,0,1,8249
13-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,163,0,93,0,0,0,8249
14-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,166,0,109,3,0,16,8249
15-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,166,0,109,0,0,0,8249
16-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,176,0,130,10,0,21,8249
17-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,176,0,130,0,0,0,8249
18-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,194,0,142,18,0,12,8249
19-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,198,0,145,4,0,3,8249
20-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,203,0,145,5,0,0,8249
21-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,207,0,152,4,0,7,8249
22-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,212,0,159,5,0,7,8249
23-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,221,0,163,9,0,4,8249
24-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,240,0,170,19,0,7,8249
25-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,259,0,174,19,0,4,8249
26-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,290,0,176,31,0,2,8249
27-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,324,0,182,34,0,6,8249
28-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,338,1,192,14,0,10,8249
29-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,363,1,196,25,0,4,8249
30-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,428,2,201,65,0,5,8249
31-07-2020,Andaman and Nicobar Islands,11.7401,92.6586,471,4,201,43,0,0,8249
01-08-2020,Andaman and Nicobar Islands,11.7401,92.6586,548,5,214,77,0,13,8249
02-08-2020,Andaman and Nicobar Islands,11.7401,92.6586,636,7,226,88,0,12,8249
